product_name,product_url,price,matrix,processor,core,ram,ssd,card
"13.3"" Ультрабук HP Pavilion 13-an1016ur серебристый",https://www.dns-shop.ru/product/7f5ccbfcd4571b80/133-ultrabuk-hp-pavilion-13-an1016ur-serebristyj/,47999,SVA (TN+film),Intel Core i5 1035G1,4 х 1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD 
"15.6"" Ультрабук HP Pavilion 15-cs3014ur синий",https://www.dns-shop.ru/product/72f03d3cd4571b80/156-ultrabuk-hp-pavilion-15-cs3014ur-sinij/,45999,IPS,Intel Core i3 1005G1,2 х 1.2 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD 
"14"" Ультрабук HP 14s-dq1009ur серебристый",https://www.dns-shop.ru/product/ae29c8d51bbb1b80/14-ultrabuk-hp-14s-dq1009ur-serebristyj/,48999,IPS,Intel Core i5 1035G1,4 х 1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD 
"15.6"" Ультрабук HP Pavilion 15-cw1005ur серебристый",https://www.dns-shop.ru/product/2ee32fce7cfa1b80/156-ultrabuk-hp-pavilion-15-cw1005ur-serebristyj/,52999,IPS,AMD Ryzen 7 3700U,4 х 2.3 ГГц,RAM 12 ГБ,SSD 512 ГБ,Radeon Vega 10 
"14"" Ультрабук HP Pavilion 14-ce3028ur фиолетовый",https://www.dns-shop.ru/product/767cd3b11c803332/14-ultrabuk-hp-pavilion-14-ce3028ur-fioletovyj/,51999,IPS,Intel Core i5 1035G1,4 х 1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD 
"13.3"" Ультрабук Lenovo Yoga 3 Pro серый",https://www.dns-shop.ru/product/7211564ea5ba3361/133-ultrabuk-lenovo-yoga-3-pro-seryj/,51999,IPS,Intel Core M5 5Y71,2 х 1.2 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel HD 5300 
"14"" Ультрабук Acer Swift 3 SF314-41-R32D синий",https://www.dns-shop.ru/product/ab06c08b14c33332/14-ultrabuk-acer-swift-3-sf314-41-r32d-sinij/,52999,IPS,AMD Ryzen 5 3500U,4 х 2.1 ГГц,RAM 8 ГБ,SSD 512 ГБ,Radeon Vega 8 
"14"" Ультрабук HP Pavilion 14-ce3017ur серебристый",https://www.dns-shop.ru/product/72f03d39d4571b80/14-ultrabuk-hp-pavilion-14-ce3017ur-serebristyj/,52499,IPS,Intel Core i5 1035G1,4 х 1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD 
"13.3"" Ультрабук HP Pavilion 13-an1026ur серебристый",https://www.dns-shop.ru/product/767cd3ab1c803332/133-ultrabuk-hp-pavilion-13-an1026ur-serebristyj/,51999,IPS,Intel Core i5 1035G1,4 х 1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD 
"15.6"" Ультрабук HP Pavilion 15-cs3079ur белый",https://www.dns-shop.ru/product/c04fb4bb79693332/156-ultrabuk-hp-pavilion-15-cs3079ur-belyj/,49999,SVA (TN+film),Intel Core i5 1035G1,4 х 1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD 
"14"" Ультрабук HP Pavilion 14-ce3027ur белый",https://www.dns-shop.ru/product/767cd3b21c803332/14-ultrabuk-hp-pavilion-14-ce3027ur-belyj/,49999,IPS,Intel Core i5 1035G1,4 х 1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD 
"15.6"" Ультрабук HP 15s-fq1016ur серебристый",https://www.dns-shop.ru/product/91bc1ebdd4571b80/156-ultrabuk-hp-15s-fq1016ur-serebristyj/,49999,IPS,Intel Core i5 1035G1,4 х 1 ГГц,RAM 8 ГБ,SSD 512 ГБ,Intel UHD 
"14"" Ультрабук Honor MagicBook Nbl-WAQ9HNR серый",https://www.dns-shop.ru/product/1447139c3b493332/14-ultrabuk-honor-magicbook-nbl-waq9hnr-seryj/,49999,IPS,AMD Ryzen 5 3500U,4 х 2.1 ГГц,RAM 8 ГБ,SSD 512 ГБ,Radeon Vega 8 
"14"" Ультрабук Acer Swift 3 SF314-41G-R4LJ серебристый",https://www.dns-shop.ru/product/a2034e0c8ab93332/14-ultrabuk-acer-swift-3-sf314-41g-r4lj-serebristyj/,49999,IPS,AMD Ryzen 5 3500U,4 х 2.1 ГГц,RAM 8 ГБ,SSD 512 ГБ,Radeon 540X 2 Гб
"14"" Ультрабук HP Pavilion 14-ce3026ur серебристый",https://www.dns-shop.ru/product/7d0f2ad31c803332/14-ultrabuk-hp-pavilion-14-ce3026ur-serebristyj/,49999,IPS,Intel Core i5 1035G1,4 х 1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD 
"13.3"" Ультрабук Lenovo IdeaPad S530-13IWL черный",https://www.dns-shop.ru/product/d1877661f3793332/133-ultrabuk-lenovo-ideapad-s530-13iwl-cernyj/,49999,IPS,Intel Core i5 8265U,4 х 1.6 ГГц,RAM 8 ГБ,SSD 512 ГБ,Intel UHD Graphics 620 
"14"" Ультрабук ASUS ZenBook UX430UA-GV407T синий",https://www.dns-shop.ru/product/fcf6120ac1681b80/14-ultrabuk-asus-zenbook-ux430ua-gv407t-sinij/,49999,IPS,Intel Core i5 8250U,4 х 1.6 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD Graphics 620 
"13.3"" Ультрабук DELL XPS 13 9350-1271 серый",https://www.dns-shop.ru/product/010a022ea5368a5a/133-ultrabuk-dell-xps-13-9350-1271-seryj/,49999,IPS,Intel Core i5 6200U,2 х 2.3 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel HD 520 
"13.3"" Ультрабук DELL XPS 13 9365-0932 серебристый",https://www.dns-shop.ru/product/2e36460891143330/133-ultrabuk-dell-xps-13-9365-0932-serebristyj/,49999,IPS,Intel Core i5 7Y54,2 х 1.2 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel HD 615 
"13.3"" Ультрабук HP Pavilion 13-an1015ur серебристый",https://www.dns-shop.ru/product/7f5ccbfbd4571b80/133-ultrabuk-hp-pavilion-13-an1015ur-serebristyj/,49499,SVA (TN+film),Intel Core i5 1035G1,4 х 1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD 
"14"" Ультрабук MSI Modern 14 A10M-813RU серый",https://www.dns-shop.ru/product/1c00e29610f21b80/14-ultrabuk-msi-modern-14-a10m-813ru-seryj/,57999,IPS,Intel Core i5 10210U,4 х 1.6 ГГц,RAM 8 ГБ,SSD 512 ГБ,Intel UHD Graphics 620 
"15.6"" Ультрабук HP Pavilion 15-cw1026ur серебристый",https://www.dns-shop.ru/product/71591212796a3332/156-ultrabuk-hp-pavilion-15-cw1026ur-serebristyj/,56999,IPS,AMD Ryzen 7 3700U,4 х 2.3 ГГц,RAM 16 ГБ,SSD 512 ГБ,Radeon Vega 10 
"13.3"" Ультрабук HP Envy x360 13-ar0010ur черный",https://www.dns-shop.ru/product/855c8bcbd4571b80/133-ultrabuk-hp-envy-x360-13-ar0010ur-cernyj/,57999,IPS,AMD Ryzen 5 3500U,4 х 2.1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Radeon Vega 8 
"14"" Ультрабук Lenovo Ideapad S340-14API синий",https://www.dns-shop.ru/product/ebd938e387681b80/14-ultrabuk-lenovo-ideapad-s340-14api-sinij/,53499,IPS,AMD Ryzen 7 3700U,4 х 2.3 ГГц,RAM 8 ГБ,SSD 256 ГБ,Radeon Vega 10 
"14"" Ультрабук ASUS ZenBook Flip UM462DA-AI009T серый",https://www.dns-shop.ru/product/7aade85201f01b80/14-ultrabuk-asus-zenbook-flip-um462da-ai009t-seryj/,57999,IPS,AMD Ryzen 5 3500U,4 х 2.1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Radeon Vega 8 
"14"" Ультрабук Lenovo IdeaPad 530S-14IKB голубой",https://www.dns-shop.ru/product/d1877662f3793332/14-ultrabuk-lenovo-ideapad-530s-14ikb-goluboj/,57999,IPS,Intel Core i7 8550U,4 х 1.8 ГГц,RAM 8 ГБ,SSD 512 ГБ,Intel UHD Graphics 620 
"14"" Ультрабук Huawei MateBook D 14 Nbl-WAP9R серый",https://www.dns-shop.ru/product/de39cba789123332/14-ultrabuk-huawei-matebook-d-14-nbl-wap9r-seryj/,54999,IPS,AMD Ryzen 7 3700U,4 х 2.3 ГГц,RAM 8 ГБ,SSD 512 ГБ,Radeon Vega 10 
"15.6"" Ультрабук Huawei MateBook D 15 Boh-WAQ9R серый",https://www.dns-shop.ru/product/40957aab89133332/156-ultrabuk-huawei-matebook-d-15-boh-waq9r-seryj/,54999,IPS,AMD Ryzen 7 3700U,4 х 2.3 ГГц,RAM 8 ГБ,SSD 512 ГБ,Radeon Vega 10 
"14"" Ультрабук Acer Swift 3 SF314-57-53FR серебристый",https://www.dns-shop.ru/product/68c9d335d4fe1b80/14-ultrabuk-acer-swift-3-sf314-57-53fr-serebristyj/,54999,IPS,Intel Core i5 1035G1,4 х 1 ГГц,RAM 8 ГБ,SSD 512 ГБ,Intel UHD 
"14"" Ультрабук Acer Swift 3 SF314-57-340B серебристый",https://www.dns-shop.ru/product/334a559122e23332/14-ultrabuk-acer-swift-3-sf314-57-340b-serebristyj/,54999,IPS,Intel Core i3 1005G1,2 х 1.2 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD 
"14"" Ультрабук ASUS VivoBook S S431FA-AM226T серый",https://www.dns-shop.ru/product/871a6fb301f01b80/14-ultrabuk-asus-vivobook-s-s431fa-am226t-seryj/,54999,IPS,Intel Core i5 10210U,4 х 1.6 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD Graphics 620 
"14"" Ультрабук ASUS ZenBook UM431DA-AM024T синий",https://www.dns-shop.ru/product/80ad53da01f01b80/14-ultrabuk-asus-zenbook-um431da-am024t-sinij/,54999,IPS,AMD Ryzen 5 3500U,4 х 2.1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Radeon Vega 8 
"14"" Ультрабук ASUS VivoBook S S431FA-AM225T зеленый",https://www.dns-shop.ru/product/871a6fb201f01b80/14-ultrabuk-asus-vivobook-s-s431fa-am225t-zelenyj/,54999,IPS,Intel Core i5 10210U,4 х 1.6 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD Graphics 620 
"14"" Ультрабук Acer Swift 3 SF314-55-35EX серебристый",https://www.dns-shop.ru/product/540d5ecb36971b80/14-ultrabuk-acer-swift-3-sf314-55-35ex-serebristyj/,54999,IPS,Intel Core i3 8145U,2 х 2.1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD Graphics 620 
"14"" Ультрабук Acer Swift 3 SF314-41G-R5WK серебристый",https://www.dns-shop.ru/product/68c9d33ad4fe1b80/14-ultrabuk-acer-swift-3-sf314-41g-r5wk-serebristyj/,54999,IPS,AMD Ryzen 5 3500U,4 х 2.1 ГГц,RAM 8 ГБ,SSD 512 ГБ,Radeon 540X 2 Гб
"13.3"" Ультрабук HP Pavilion 13-an1025ur серебристый",https://www.dns-shop.ru/product/767cd3ad1c803332/133-ultrabuk-hp-pavilion-13-an1025ur-serebristyj/,54999,IPS,Intel Core i5 1035G1,4 х 1 ГГц,RAM 8 ГБ,SSD 256 ГБ,Intel UHD 
